"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2001","Randy Johnson","Diamondbacks","21","6","0","35","34","249.2","13.41","2.56","0.68",".315","80.5 %"," "," ","2.49","2.13"," ","10.4","60"
"2000","Randy Johnson","Diamondbacks","19","7","0","35","35","248.2","12.56","2.75","0.83",".326","77.4 %"," "," ","2.64","2.53"," ","9.7","60"
"2000","Pedro Martinez","Red Sox","18","6","0","29","29","217.0","11.78","1.33","0.71",".236","86.6 %"," "," ","1.74","2.17"," ","9.5","200"
"2004","Randy Johnson","Diamondbacks","16","14","0","35","35","245.2","10.62","1.61","0.66",".264","69.5 %","43.5 %","8.0 %","2.60","2.30","2.65","9.5","60"
"2002","Curt Schilling","Diamondbacks","23","7","0","36","35","259.1","10.97","1.15","1.01",".297","74.5 %","40.8 %","12.2 %","3.23","2.40","2.21","9.3","73"
"2009","Zack Greinke","Royals","16","8","0","33","33","229.1","9.50","2.00","0.43",".303","79.3 %","40.0 %","4.5 %","2.16","2.33","3.09","8.7","1943"
"2004","Ben Sheets","Brewers","12","14","0","34","34","237.0","10.03","1.22","0.95",".288","75.3 %","43.3 %","10.1 %","2.70","2.65","2.76","8.1","710"
"2002","Randy Johnson","Diamondbacks","24","5","0","35","35","260.0","11.56","2.46","0.90",".289","83.0 %","46.9 %","12.9 %","2.32","2.66","2.44","8.0","60"
"2003","Mark Prior","Cubs","18","6","0","30","30","211.1","10.43","2.13","0.64",".309","79.2 %","41.0 %","7.5 %","2.43","2.47","2.92","7.9","301"
"2009","Justin Verlander","Tigers","19","9","0","35","35","240.0","10.09","2.36","0.75",".319","72.7 %","36.0 %","7.4 %","3.45","2.80","3.20","7.6","8700"
"2009","Tim Lincecum","Giants","15","7","0","32","32","225.1","10.42","2.72","0.40",".282","75.9 %","47.5 %","5.5 %","2.48","2.34","2.83","7.5","5705"
"2003","Pedro Martinez","Red Sox","14","4","0","29","29","186.2","9.93","2.27","0.34",".292","78.2 %","41.2 %","4.0 %","2.22","2.21","3.08","7.4","200"
"2008","CC Sabathia","- - -","17","10","0","35","35","253.0","8.93","2.10","0.68",".297","77.7 %","46.6 %","8.8 %","2.70","2.91","3.06","7.4","404"
"2002","Pedro Martinez","Red Sox","20","4","0","30","30","199.1","10.79","1.81","0.59",".273","75.8 %","42.2 %","7.5 %","2.26","2.24","2.60","7.4","200"
"2001","Curt Schilling","Diamondbacks","22","6","0","35","35","256.2","10.27","1.37","1.30",".307","84.8 %"," "," ","2.98","3.11"," ","7.3","73"
"2005","Johan Santana","Twins","16","7","0","33","33","231.2","9.25","1.75","0.85",".262","76.3 %","39.4 %","8.4 %","2.87","2.80","3.12","7.2","755"
"2000","Greg Maddux","Braves","19","9","0","35","35","249.1","6.86","1.52","0.69",".274","74.3 %"," "," ","3.00","3.23"," ","7.2","104"
"2004","Johan Santana","Twins","20","6","0","34","34","228.0","10.46","2.13","0.95",".250","80.4 %","40.6 %","10.3 %","2.61","2.92","3.01","7.1","755"
"2008","Tim Lincecum","Giants","18","5","0","34","33","227.0","10.51","3.33","0.44",".304","77.9 %","43.9 %","5.6 %","2.62","2.62","3.13","7.0","5705"
"2003","Roy Halladay","Blue Jays","22","7","0","36","36","266.0","6.90","1.08","0.88",".284","71.0 %","58.4 %","14.3 %","3.25","3.23","2.96","7.0","1303"
"2009","Roy Halladay","Blue Jays","17","10","0","32","32","239.0","7.83","1.32","0.83",".306","79.0 %","50.2 %","10.6 %","2.79","3.06","3.00","7.0","1303"
"2006","Johan Santana","Twins","19","6","0","34","34","233.2","9.44","1.81","0.92",".269","77.7 %","40.6 %","9.9 %","2.77","3.04","3.16","7.0","755"
"2001","Mike Mussina","Yankees","17","11","0","34","34","228.2","8.42","1.65","0.79",".289","73.2 %"," "," ","3.15","2.92"," ","6.9","837"
"2008","Roy Halladay","Blue Jays","20","11","0","34","33","246.0","7.54","1.43","0.66",".284","74.5 %","53.7 %","9.4 %","2.78","3.03","3.11","6.8","1303"
"2008","Cliff Lee","Indians","22","3","0","31","31","223.1","6.85","1.37","0.48",".301","78.3 %","45.9 %","5.1 %","2.54","2.83","3.52","6.8","1636"
"2002","Roy Halladay","Blue Jays","19","7","0","34","34","239.1","6.32","2.33","0.38",".286","71.6 %","59.5 %","6.5 %","2.93","2.97","3.32","6.8","1303"
"2000","Kevin Brown","Dodgers","13","6","0","33","33","230.0","8.45","1.84","0.82",".255","77.6 %"," "," ","2.58","3.17"," ","6.8","642"
"2007","Jake Peavy","Padres","19","6","0","34","34","223.1","9.67","2.74","0.52",".273","78.3 %","44.0 %","5.8 %","2.54","2.84","3.34","6.7","1051"
"2003","Esteban Loaiza","White Sox","21","9","0","34","34","226.1","8.23","2.23","0.68",".283","78.5 %","46.4 %","8.7 %","2.90","3.05","3.34","6.7","1310"
"2004","Curt Schilling","Red Sox","21","6","0","32","32","226.2","8.06","1.39","0.91",".284","75.8 %","41.2 %","9.1 %","3.26","3.11","3.38","6.7","73"
"2003","Jason Schmidt","Giants","17","5","0","29","29","207.2","9.01","1.99","0.61",".253","80.2 %","37.0 %","6.2 %","2.34","2.64","3.35","6.6","1131"
"2000","Mike Mussina","Orioles","11","15","0","34","34","237.2","7.95","1.74","1.06",".297","73.2 %"," "," ","3.79","3.52"," ","6.6","837"
"2004","Roy Oswalt","Astros","20","10","0","36","35","237.0","7.82","2.35","0.65",".314","73.0 %","42.5 %","7.1 %","3.49","3.17","3.67","6.6","571"
"2007","CC Sabathia","Indians","19","7","0","34","34","241.0","7.80","1.38","0.75",".311","74.1 %","45.0 %","7.8 %","3.21","3.14","3.40","6.5","404"
"2009","Javier Vazquez","Braves","15","10","0","32","32","219.1","9.77","1.81","0.82",".283","76.6 %","41.7 %","10.1 %","2.87","2.77","2.77","6.5","801"
"2005","Dontrelle Willis","Marlins","22","10","0","34","34","236.1","6.47","2.09","0.42",".282","75.6 %","44.6 %","4.9 %","2.63","2.99","3.68","6.5","1703"
"2004","Jason Schmidt","Giants","18","7","0","32","32","225.0","10.04","3.08","0.72",".263","73.3 %","44.6 %","8.2 %","3.20","2.92","3.27","6.4","1131"
"2009","Cliff Lee","- - -","14","13","0","34","34","231.2","7.03","1.67","0.66",".315","76.2 %","41.3 %","6.5 %","3.22","3.11","3.64","6.4","1636"
"2005","Chris Carpenter","Cardinals","21","5","0","33","33","241.2","7.93","1.90","0.67",".278","75.6 %","54.5 %","10.3 %","2.83","2.90","2.93","6.4","1292"
"2006","Brandon Webb","Diamondbacks","16","8","0","33","33","235.0","6.82","1.91","0.57",".287","72.1 %","66.3 %","13.2 %","3.10","3.18","3.03","6.4","1692"
"2000","David Wells","Blue Jays","20","8","0","35","35","229.2","6.51","1.21","0.90",".327","69.7 %"," "," ","4.11","3.50"," ","6.3","855"
"2001","Greg Maddux","Braves","17","11","0","34","34","233.0","6.68","1.04","0.77",".286","74.3 %"," "," ","3.05","3.12"," ","6.3","104"
"2002","Roy Oswalt","Astros","19","9","0","35","34","233.0","8.03","2.39","0.66",".298","75.9 %","47.1 %","8.5 %","3.01","2.99","3.23","6.2","571"
"2009","Felix Hernandez","Mariners","19","5","0","34","34","238.2","8.18","2.68","0.57",".278","76.7 %","53.4 %","7.5 %","2.49","3.09","3.37","6.2","4772"
"2007","Brandon Webb","Diamondbacks","18","10","0","34","34","236.1","7.39","2.74","0.46",".285","72.4 %","61.8 %","8.8 %","3.01","3.24","3.30","6.1","1692"
"2008","Dan Haren","Diamondbacks","16","8","0","33","33","216.0","8.58","1.67","0.79",".303","73.4 %","44.2 %","8.9 %","3.33","3.01","3.16","6.1","1757"
"2005","Pedro Martinez","Mets","15","8","0","31","31","217.0","8.63","1.95","0.79",".248","76.9 %","37.9 %","7.5 %","2.82","2.95","3.42","6.1","200"
"2003","Mike Mussina","Yankees","17","8","0","31","31","214.2","8.18","1.68","0.88",".287","72.5 %","40.8 %","9.5 %","3.40","3.09","3.32","6.1","837"
"2005","Roy Oswalt","Astros","20","12","0","35","35","241.2","6.85","1.79","0.67",".302","78.2 %","49.1 %","8.3 %","2.94","3.16","3.43","6.1","571"
"2006","Roy Oswalt","Astros","15","8","0","33","32","220.2","6.77","1.55","0.73",".302","78.7 %","48.8 %","8.7 %","2.98","3.30","3.57","6.1","571"
"2003","Kevin Brown","Dodgers","14","9","0","32","32","211.0","7.89","2.39","0.47",".289","77.5 %","62.5 %","10.7 %","2.39","2.82","2.86","6.0","642"
"2001","Matt Morris","Cardinals","22","8","0","34","34","216.1","7.70","2.25","0.54",".318","74.6 %"," "," ","3.16","3.05"," ","6.0","1172"
"2005","Roger Clemens","Astros","13","8","0","32","32","211.1","7.88","2.64","0.47",".243","82.3 %","49.0 %","6.4 %","1.87","2.87","3.31","6.0","815"
"2001","Javier Vazquez","Expos","16","11","0","32","32","223.2","8.37","1.77","0.97",".279","72.2 %"," "," ","3.42","3.21"," ","5.9","801"
"2009","CC Sabathia","Yankees","19","8","0","34","34","230.0","7.71","2.62","0.70",".277","71.4 %","42.9 %","7.4 %","3.37","3.39","3.77","5.9","404"
"2005","Andy Pettitte","Astros","17","9","0","33","33","222.1","6.92","1.66","0.69",".266","79.7 %","50.2 %","9.8 %","2.39","3.07","3.15","5.8","840"
"2003","Javier Vazquez","Expos","13","12","0","34","34","230.2","9.40","2.22","1.09",".280","75.5 %","35.7 %","10.6 %","3.24","3.31","3.41","5.8","801"
"2007","Josh Beckett","Red Sox","20","7","0","30","30","200.2","8.70","1.79","0.76",".304","75.2 %","47.3 %","8.0 %","3.27","3.08","3.31","5.8","510"
"2001","Andy Pettitte","Yankees","15","10","0","31","31","200.2","7.36","1.84","0.63",".332","66.8 %"," "," ","3.99","3.02"," ","5.8","840"
"2004","Roger Clemens","Astros","18","4","0","33","33","214.1","9.15","3.32","0.63",".275","76.4 %","49.4 %","8.2 %","2.98","3.11","3.42","5.8","815"
"2006","Aaron Harang","Reds","16","11","0","36","35","234.1","8.30","2.15","1.08",".312","73.8 %","38.5 %","10.5 %","3.76","3.68","3.72","5.7","1451"
"2008","Ervin Santana","Angels","16","7","0","32","32","219.0","8.79","1.93","0.95",".289","74.3 %","38.8 %","8.9 %","3.49","3.30","3.48","5.7","3200"
"2009","Adam Wainwright","Cardinals","19","8","0","34","34","233.0","8.19","2.55","0.66",".296","80.4 %","50.7 %","8.3 %","2.63","3.11","3.32","5.7","2233"
"2001","Roger Clemens","Yankees","20","3","0","33","33","220.1","8.70","2.94","0.78",".305","73.6 %"," "," ","3.51","3.29"," ","5.6","815"
"2003","Tim Hudson","Athletics","16","7","0","34","34","240.0","6.07","2.29","0.56",".253","74.5 %","57.9 %","9.0 %","2.70","3.38","3.58","5.6","921"
"2009","Dan Haren","Diamondbacks","14","10","0","33","33","229.1","8.75","1.49","1.06",".267","77.0 %","42.9 %","11.7 %","3.14","3.23","3.02","5.6","1757"
"2005","Mark Buehrle","White Sox","16","8","0","33","33","236.2","5.67","1.52","0.76",".290","72.3 %","45.8 %","8.0 %","3.12","3.42","3.77","5.6","225"
"2001","Pedro Martinez","Red Sox","7","3","0","18","18","116.2","12.57","1.93","0.39",".307","75.9 %"," "," ","2.39","1.61"," ","5.6","200"
"2003","Curt Schilling","Diamondbacks","8","9","0","24","24","168.0","10.39","1.71","0.91",".297","78.0 %","41.5 %","10.8 %","2.95","2.66","2.71","5.6","73"
"2001","Mark Mulder","Athletics","21","8","0","34","34","229.1","6.00","2.00","0.63",".282","71.9 %"," "," ","3.45","3.35"," ","5.6","932"
"2006","Jeremy Bonderman","Tigers","14","8","0","34","34","214.0","8.50","2.69","0.76",".318","69.2 %","48.2 %","8.9 %","4.08","3.29","3.53","5.5","1667"
"2005","John Lackey","Angels","14","5","0","33","33","209.0","8.57","3.06","0.56",".326","75.4 %","44.6 %","6.6 %","3.44","3.10","3.59","5.5","1507"
"2007","John Smoltz","Braves","14","8","0","32","32","205.2","8.62","2.06","0.79",".303","76.2 %","44.7 %","8.7 %","3.11","3.21","3.33","5.5","115"
"2009","Chris Carpenter","Cardinals","17","4","0","28","28","192.2","6.73","1.78","0.33",".269","79.5 %","55.0 %","4.6 %","2.24","2.78","3.34","5.5","1292"
"2009","Ubaldo Jimenez","Rockies","15","12","0","33","33","218.0","8.17","3.51","0.54",".280","73.5 %","52.5 %","7.8 %","3.47","3.36","3.59","5.5","3374"
"2005","Jake Peavy","Padres","13","7","0","30","30","203.0","9.58","2.22","0.80",".276","76.9 %","44.0 %","9.6 %","2.88","2.89","3.00","5.5","1051"
"2008","Brandon Webb","Diamondbacks","22","7","0","34","34","226.2","7.27","2.58","0.52",".288","71.0 %","64.2 %","9.6 %","3.30","3.28","3.33","5.5","1692"
"2006","John Smoltz","Braves","16","9","0","35","35","232.0","8.19","2.13","0.89",".299","76.0 %","46.3 %","10.2 %","3.49","3.44","3.52","5.5","115"
"2006","John Lackey","Angels","13","11","0","33","33","217.2","7.86","2.98","0.58",".297","70.4 %","43.1 %","5.7 %","3.56","3.35","4.11","5.5","1507"
"2009","Josh Johnson","Marlins","15","5","0","33","33","209.0","8.22","2.50","0.60",".290","74.9 %","50.3 %","7.5 %","3.23","3.06","3.36","5.4","4567"
"2007","Aaron Harang","Reds","16","6","0","34","34","231.2","8.47","2.02","1.09",".288","74.0 %","40.3 %","10.2 %","3.73","3.71","3.62","5.4","1451"
"2001","Freddy Garcia","Mariners","18","6","0","34","34","238.2","6.15","2.60","0.60",".255","73.8 %"," "," ","3.05","3.48"," ","5.3","1077"
"2009","Jon Lester","Red Sox","15","8","0","32","32","203.1","9.96","2.83","0.89",".313","76.9 %","47.7 %","10.6 %","3.41","3.15","3.09","5.3","4930"
"2007","Joe Blanton","Athletics","14","10","0","34","34","230.0","5.48","1.57","0.63",".299","68.0 %","46.9 %","6.5 %","3.95","3.50","3.93","5.2","4849"
"2005","John Smoltz","Braves","14","7","0","33","33","229.2","6.62","2.08","0.71",".278","75.8 %","47.9 %","8.7 %","3.06","3.27","3.50","5.2","115"
"2008","Johan Santana","Mets","16","7","0","34","34","234.1","7.91","2.42","0.88",".274","82.6 %","41.2 %","9.4 %","2.53","3.51","3.61","5.2","755"
"2004","Brad Radke","Twins","11","8","0","34","34","219.2","5.86","1.07","0.94",".293","73.9 %","42.8 %","8.5 %","3.48","3.55","3.94","5.2","748"
"2000","Javier Vazquez","Expos","11","9","0","33","33","217.2","8.10","2.52","0.99",".338","74.8 %"," "," ","4.05","3.68"," ","5.2","801"
"2001","John Burkett","Braves","12","12","0","34","34","219.1","7.67","2.87","0.70",".273","75.3 %"," "," ","3.04","3.39"," ","5.2","179"
"2007","John Lackey","Angels","19","9","0","33","33","224.0","7.19","2.09","0.72",".301","76.0 %","44.7 %","7.3 %","3.01","3.54","3.87","5.2","1507"
"2007","Roy Halladay","Blue Jays","16","7","0","31","31","225.1","5.55","1.92","0.60",".301","69.5 %","53.1 %","7.1 %","3.71","3.55","3.85","5.1","1303"
"2006","Mike Mussina","Yankees","15","7","0","32","32","197.1","7.84","1.60","1.00",".284","70.4 %","42.4 %","9.4 %","3.51","3.46","3.68","5.1","837"
"2008","A.J. Burnett","Blue Jays","18","10","0","35","34","221.1","9.39","3.50","0.77",".314","70.5 %","48.5 %","9.6 %","4.07","3.45","3.51","5.1","512"
"2003","Andy Pettitte","Yankees","21","8","0","33","33","208.1","7.78","2.16","0.91",".320","68.0 %","52.2 %","12.4 %","4.02","3.35","3.23","5.1","840"
"2006","CC Sabathia","Indians","12","11","0","28","28","192.2","8.03","2.06","0.79",".294","71.7 %","45.1 %","8.4 %","3.22","3.30","3.63","5.1","404"
"2006","Roy Halladay","Blue Jays","16","5","0","32","32","220.0","5.40","1.39","0.78",".276","74.9 %","57.3 %","12.5 %","3.19","3.60","3.45","5.1","1303"
"2004","Pedro Martinez","Red Sox","16","9","0","33","33","217.0","9.41","2.53","1.08",".291","73.2 %","38.2 %","10.2 %","3.90","3.58","3.68","5.0","200"
"2006","Chris Carpenter","Cardinals","15","8","0","32","32","221.2","7.47","1.75","0.85",".271","76.3 %","53.3 %","11.5 %","3.09","3.44","3.36","5.0","1292"
"2001","Tim Hudson","Athletics","18","9","0","35","35","235.0","6.93","2.72","0.77",".279","72.8 %"," "," ","3.37","3.60"," ","5.0","921"
"2007","Erik Bedard","Orioles","13","5","0","28","28","182.0","10.93","2.82","0.94",".283","77.7 %","47.9 %","12.3 %","3.16","3.19","2.90","5.0","126"
"2005","A.J. Burnett","Marlins","12","12","0","32","32","209.0","8.53","3.40","0.52",".298","68.3 %","58.4 %","9.4 %","3.44","3.11","3.20","5.0","512"
"2007","Kelvim Escobar","Angels","18","7","0","30","30","195.2","7.36","3.04","0.51",".299","73.0 %","44.0 %","5.0 %","3.40","3.39","4.09","4.9","1298"
"2002","Matt Clement","Cubs","12","11","0","32","32","205.0","9.44","3.73","0.79",".270","74.2 %","49.2 %","10.8 %","3.60","3.34","3.32","4.9","271"
"2007","Roy Oswalt","Astros","14","7","0","33","32","212.0","6.54","2.55","0.59",".307","77.5 %","53.0 %","6.7 %","3.18","3.59","3.97","4.9","571"
"2007","Tim Hudson","Braves","16","10","0","34","34","224.1","5.30","2.13","0.40",".292","72.8 %","62.0 %","6.5 %","3.33","3.46","3.74","4.9","921"
"2003","Carlos Zambrano","Cubs","13","11","0","32","32","214.0","7.07","3.95","0.38",".286","73.0 %","55.4 %","6.4 %","3.11","3.47","3.88","4.9","305"
"2008","Derek Lowe","Dodgers","14","11","0","34","34","211.0","6.27","1.92","0.60",".280","70.8 %","60.3 %","9.5 %","3.24","3.26","3.32","4.9","199"
"2002","Odalis Perez","Dodgers","15","10","0","32","32","222.1","6.27","1.54","0.85",".247","76.1 %","46.1 %","9.8 %","3.00","3.36","3.47","4.9","668"
"2007","Scott Kazmir","Devil Rays","13","9","0","34","34","206.2","10.41","3.88","0.78",".333","75.3 %","43.1 %","8.1 %","3.48","3.45","3.67","4.9","4897"
"2000","Al Leiter","Mets","16","8","0","31","31","208.0","8.65","3.29","0.82",".276","75.7 %"," "," ","3.20","3.65"," ","4.8","883"
"2008","Ben Sheets","Brewers","13","9","0","31","31","198.1","7.17","2.13","0.77",".278","75.5 %","40.6 %","7.0 %","3.09","3.38","3.88","4.8","710"
"2008","Ryan Dempster","Cubs","17","6","0","33","33","206.2","8.14","3.31","0.61",".280","76.7 %","48.1 %","7.7 %","2.96","3.41","3.69","4.8","517"
"2004","Carlos Zambrano","Cubs","16","8","0","31","31","209.2","8.07","3.48","0.60",".274","79.1 %","50.7 %","7.7 %","2.75","3.57","3.93","4.8","305"
"2002","Derek Lowe","Red Sox","21","8","0","32","32","219.2","5.20","1.97","0.49",".235","77.0 %","66.8 %","9.2 %","2.58","3.34","3.44","4.8","199"
"2003","Kevin Millwood","Phillies","14","12","0","35","35","222.0","6.85","2.76","0.77",".285","70.1 %","39.3 %","7.9 %","4.01","3.59","4.07","4.8","106"
"2001","Brad Penny","Marlins","10","10","0","31","31","205.0","6.76","2.37","0.66",".279","68.2 %"," "," ","3.69","3.39"," ","4.8","535"
"2001","Jon Lieber","Cubs","20","6","0","34","34","232.1","5.73","1.59","0.97",".273","71.1 %"," "," ","3.80","3.79"," ","4.8","287"
"2000","Glendon Rusch","Mets","11","11","0","31","30","190.2","7.41","2.08","0.85",".308","70.2 %"," "," ","4.01","3.50"," ","4.8","707"
"2000","Jon Lieber","Cubs","12","11","0","35","35","251.0","6.88","1.94","1.29",".281","69.6 %"," "," ","4.41","4.23"," ","4.7","287"
"2001","Barry Zito","Athletics","17","8","0","35","35","214.1","8.61","3.36","0.76",".283","73.5 %"," "," ","3.49","3.53"," ","4.7","944"
"2002","A.J. Burnett","Marlins","12","9","0","31","29","204.1","8.94","3.96","0.53",".266","71.4 %","42.8 %","6.1 %","3.30","3.19","3.77","4.7","512"
"2008","Cole Hamels","Phillies","14","10","0","33","33","227.1","7.76","2.10","1.11",".259","76.0 %","39.5 %","11.2 %","3.09","3.72","3.58","4.7","4972"
"2000","Tom Glavine","Braves","21","9","0","35","35","241.0","5.68","2.43","0.90",".265","73.8 %"," "," ","3.40","4.03"," ","4.7","90"
"2005","Esteban Loaiza","Nationals","12","10","0","34","34","217.0","7.18","2.28","0.75",".316","74.1 %","43.7 %","8.0 %","3.77","3.33","3.69","4.7","1310"
"2006","Curt Schilling","Red Sox","15","7","0","31","31","204.0","8.07","1.24","1.24",".324","76.0 %","39.8 %","11.4 %","3.97","3.59","3.50","4.7","73"
"2004","Freddy Garcia","- - -","13","11","0","31","31","210.0","7.89","2.74","0.94",".283","73.6 %","43.4 %","9.3 %","3.81","3.67","3.91","4.7","1077"
"2009","Joel Pineiro","Cardinals","15","12","0","32","32","214.0","4.42","1.14","0.46",".290","66.9 %","60.5 %","6.5 %","3.49","3.27","3.64","4.6","1094"
"2000","Mike Hampton","Mets","15","10","0","33","33","217.2","6.24","4.09","0.41",".278","73.9 %"," "," ","3.14","3.82"," ","4.6","430"
"2000","Curt Schilling","- - -","11","12","0","29","29","210.1","7.19","1.93","1.16",".285","75.4 %"," "," ","3.81","3.86"," ","4.6","73"
"2000","Livan Hernandez","Giants","17","11","0","33","33","240.0","6.19","2.74","0.82",".303","72.3 %"," "," ","3.75","3.91"," ","4.6","1116"
"2005","Brandon Webb","Diamondbacks","14","12","0","33","33","229.0","6.76","2.32","0.83",".302","73.7 %","65.0 %","18.8 %","3.54","3.51","2.99","4.6","1692"
"2008","Aaron Cook","Rockies","16","9","0","32","32","211.1","4.09","2.04","0.55",".308","68.9 %","55.9 %","7.6 %","3.96","3.76","4.02","4.6","1571"
"2002","Jason Schmidt","Giants","13","8","0","29","29","185.1","9.52","3.54","0.73",".275","71.8 %","35.1 %","7.3 %","3.45","3.11","3.59","4.6","1131"
"2008","Mike Mussina","Yankees","20","9","0","34","34","200.1","6.74","1.39","0.76",".321","73.3 %","48.5 %","9.2 %","3.37","3.32","3.43","4.6","837"
"2007","Dan Haren","Athletics","15","9","0","34","34","222.2","7.76","2.22","0.97",".287","75.9 %","44.4 %","9.3 %","3.07","3.70","3.74","4.6","1757"
"2008","John Danks","White Sox","12","9","0","33","33","195.0","7.34","2.63","0.69",".293","76.1 %","42.8 %","7.4 %","3.32","3.44","3.82","4.6","6329"
"2002","Kevin Millwood","Braves","18","8","0","35","34","217.0","7.38","2.70","0.66",".271","74.4 %","44.4 %","8.0 %","3.24","3.29","3.61","4.6","106"
"2005","Aaron Harang","Reds","11","13","0","32","32","211.2","6.93","2.17","0.94",".303","74.6 %","39.3 %","8.8 %","3.83","3.67","3.94","4.6","1451"
"2004","Doug Davis","Brewers","12","12","0","34","34","207.1","7.21","3.43","0.61",".290","75.1 %","47.8 %","6.9 %","3.39","3.57","4.09","4.6","1244"
"2004","Carl Pavano","Marlins","18","8","0","31","31","222.1","5.63","1.98","0.65",".282","76.9 %","48.2 %","7.2 %","3.00","3.54","4.03","4.6","790"
"2003","Woody Williams","Cardinals","18","9","0","34","33","220.2","6.24","2.24","0.82",".284","71.7 %","37.6 %","7.3 %","3.87","3.72","4.35","4.6","1190"
"2001","Brad Radke","Twins","15","11","0","33","33","226.0","5.46","1.04","0.96",".292","69.9 %"," "," ","3.94","3.70"," ","4.6","748"
"2006","Bronson Arroyo","Reds","14","11","0","35","35","240.2","6.88","2.39","1.16",".270","78.0 %","38.2 %","10.5 %","3.29","4.15","4.20","4.6","978"
"2002","Tim Hudson","Athletics","15","9","0","34","34","238.1","5.74","2.34","0.72",".294","78.5 %","55.4 %","10.2 %","2.98","3.60","3.65","4.5","921"
"2006","Erik Bedard","Orioles","15","11","0","33","33","196.1","7.84","3.16","0.73",".309","71.9 %","48.8 %","9.0 %","3.76","3.59","3.80","4.5","126"
"2007","Javier Vazquez","White Sox","15","8","0","32","32","216.2","8.85","2.08","1.20",".288","74.5 %","39.8 %","11.0 %","3.74","3.80","3.59","4.5","801"
"2003","Roger Clemens","Yankees","17","9","0","33","33","211.2","8.08","2.47","1.02",".291","71.4 %","44.4 %","11.5 %","3.91","3.60","3.57","4.5","815"
"2003","Eric Gagne","Dodgers","2","3","55","77","0","82.1","14.98","2.19","0.22",".243","83.9 %","45.4 %","5.6 %","1.20","0.86","1.18","4.5","650"
"2004","Oliver Perez","Pirates","12","10","0","30","30","196.0","10.97","3.72","1.01",".271","80.3 %","35.3 %","9.8 %","2.98","3.45","3.62","4.5","1514"
"2001","Russ Ortiz","Giants","17","9","0","33","33","218.2","6.96","3.75","0.54",".273","72.4 %"," "," ","3.29","3.52"," ","4.5","1124"
"2002","Barry Zito","Athletics","23","5","0","35","35","229.1","7.14","3.06","0.94",".245","80.7 %","34.5 %","8.1 %","2.75","3.87","4.31","4.5","944"
"2004","Tim Hudson","Athletics","12","6","0","27","27","188.2","4.91","2.10","0.38",".297","70.4 %","59.1 %","5.6 %","3.53","3.40","3.92","4.5","921"
"2004","Jaret Wright","Braves","15","8","0","32","32","186.1","7.68","3.38","0.53",".292","71.8 %","46.0 %","5.9 %","3.28","3.29","3.95","4.5","415"
"2004","Kelvim Escobar","Angels","11","12","0","33","33","208.1","8.25","3.28","0.91",".293","74.9 %","42.4 %","8.9 %","3.93","3.72","4.03","4.5","1298"
"2002","Mike Mussina","Yankees","18","10","0","33","33","215.2","7.60","2.00","1.13",".290","70.8 %","40.9 %","10.9 %","4.05","3.64","3.60","4.5","837"
"2008","Rich Harden","- - -","10","2","0","25","25","148.0","11.01","3.71","0.67",".251","84.4 %","30.0 %","6.5 %","2.07","2.95","3.50","4.5","1772"
"2008","Javier Vazquez","White Sox","12","16","0","33","33","208.1","8.64","2.64","1.08",".316","68.3 %","38.2 %","9.8 %","4.67","3.74","3.79","4.5","801"
"2009","Clayton Kershaw","Dodgers","8","8","0","31","30","171.0","9.74","4.79","0.37",".269","77.5 %","39.4 %","4.1 %","2.79","3.08","3.85","4.5","2036"
"2006","Javier Vazquez","White Sox","11","12","0","33","32","202.2","8.17","2.49","1.02",".308","65.8 %","39.8 %","9.3 %","4.84","3.86","4.10","4.5","801"
"2006","Derek Lowe","Dodgers","16","8","0","35","34","218.0","5.08","2.27","0.58",".289","70.4 %","67.0 %","11.2 %","3.63","3.68","3.65","4.5","199"
"2002","Javier Vazquez","Expos","10","13","0","34","34","230.1","6.99","1.91","1.09",".302","72.0 %","39.6 %","9.8 %","3.91","3.68","3.81","4.4","801"
"2008","Chad Billingsley","Dodgers","16","10","0","35","32","200.2","9.01","3.59","0.63",".313","78.0 %","49.0 %","8.1 %","3.14","3.35","3.58","4.4","5842"
"2003","Sidney Ponson","- - -","17","12","0","31","31","216.0","5.58","2.54","0.67",".286","71.9 %","52.6 %","8.0 %","3.75","3.67","4.06","4.4","161"
"2007","Brad Penny","Dodgers","16","4","0","33","33","208.0","5.84","3.16","0.39",".295","76.4 %","48.7 %","4.7 %","3.03","3.63","4.23","4.4","535"
"2003","Bartolo Colon","White Sox","15","13","0","34","34","242.0","6.43","2.49","1.12",".272","74.3 %","36.9 %","10.1 %","3.87","4.11","4.29","4.4","375"
"2006","Jake Peavy","Padres","11","14","0","32","32","202.1","9.56","2.76","1.02",".304","72.7 %","38.0 %","9.6 %","4.09","3.51","3.70","4.4","1051"
"2002","David Wells","Yankees","19","7","0","31","31","206.1","5.98","1.96","0.92",".284","69.4 %","42.6 %","8.4 %","3.75","3.68","4.05","4.4","855"
"2001","Darryl Kile","Cardinals","16","11","0","34","34","227.1","7.09","2.57","0.87",".303","80.9 %"," "," ","3.09","3.74"," ","4.4","1163"
"2006","Jason Jennings","Rockies","9","13","0","32","32","212.0","6.03","3.61","0.72",".289","74.0 %","43.8 %","7.0 %","3.78","4.09","4.67","4.4","434"
