"Season","Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"2000","Jon Garland","White Sox","4","8","0","15","13","69.2","5.43","5.17","1.29",".312","62.4 %"," "," ","6.46","5.56"," ","0.4","232"
"2007","Manny Delcarmen","Red Sox","0","0","1","44","0","44.0","8.39","3.48","0.82",".214","87.0 %","44.6 %","9.3 %","2.05","3.85","3.90","0.4","3180"
"2009","Craig Breslow","- - -","8","7","0","77","0","69.2","7.11","3.75","1.03",".215","71.2 %","32.6 %","8.8 %","3.36","4.39","4.61","0.4","4363"
"2000","Brian Rose","- - -","7","10","0","27","24","116.2","4.94","3.93","1.62",".279","69.2 %"," "," ","5.79","5.84"," ","0.4","1011201"
"2009","Sammy Gervacio","Astros","1","1","0","29","0","21.0","10.71","3.43","0.43",".313","84.8 %","57.4 %","7.7 %","2.14","2.62","2.81","0.4","5127"
"2007","Oscar Villarreal","Braves","2","2","1","51","0","76.1","6.84","3.77","0.71",".292","69.2 %","44.3 %","7.7 %","4.24","4.16","4.42","0.4","1654"
"2003","Mike Matthews","Padres","6","4","0","77","0","64.2","6.12","4.04","0.56",".305","69.3 %","46.9 %","7.0 %","4.45","4.01","4.49","0.4","1170"
"2009","Cesar Ramos","Padres","0","1","0","5","2","14.2","6.14","2.45","0.00",".396","78.3 %","52.2 %","0.0 %","3.07","2.55","3.80","0.4","3357"
"2003","Will Cunnane","Braves","2","2","3","20","0","20.0","9.00","2.70","0.90",".231","81.4 %","46.3 %","10.0 %","2.70","3.23","3.39","0.4","274"
"2005","Fernando Rodney","Tigers","2","3","9","39","0","44.0","8.59","3.48","1.02",".286","86.3 %","38.8 %","12.8 %","2.86","3.88","3.63","0.4","494"
"2000","Jose Mesa","Mariners","4","6","1","66","0","80.2","9.37","4.57","1.23",".338","72.7 %"," "," ","5.36","4.53"," ","0.4","961"
"2008","Mike Hampton","Braves","3","4","0","13","13","78.0","4.38","3.23","1.15",".287","68.4 %","52.7 %","15.2 %","4.85","4.94","4.39","0.4","430"
"2007","Jack Cassel","Padres","1","1","0","6","4","22.2","4.37","1.99","0.40",".363","75.1 %","41.3 %","3.8 %","3.97","3.64","4.50","0.4","3052"
"2001","Brian Anderson","Diamondbacks","4","9","0","29","22","133.1","3.71","2.03","1.69",".285","61.8 %"," "," ","5.20","5.36"," ","0.4","44"
"2008","Roy Corcoran","Mariners","6","2","3","50","0","72.2","4.83","4.46","0.12",".269","70.9 %","69.5 %","2.1 %","3.22","3.81","4.50","0.4","1780"
"2006","Chris Sampson","Astros","2","1","0","12","3","34.0","3.97","1.32","0.79",".208","78.4 %","53.3 %","12.5 %","2.12","3.94","3.79","0.4","2651"
"2008","Ron Mahay","Royals","5","0","0","57","0","64.2","6.82","4.04","0.84",".285","77.5 %","40.3 %","7.5 %","3.48","4.21","4.64","0.4","290"
