"Name","Team","1B","2B","3B","HR","BB","SB","CS","AVG","OBP","SLG","wRC+","Fld","WAR","playerid"
"Alex Rodriguez","Rangers","114","34","1","52","75","18","3",".318",".399",".622","159","-9.0","7.8","1274"
"Rich Aurilia","Giants","127","37","5","37","47","1","3",".324",".369",".572","144","5.0","7.1","1106"
"Derek Jeter","Yankees","132","35","3","21","56","27","2",".311",".377",".480","130","-17.0","4.2","826"
"Cristian Guzman","Twins","97","28","14","10","21","25","8",".302",".337",".477","111","8.0","3.9","728"
"Shane Halter","Tigers","77","32","7","12","37","3","3",".284",".344",".467","115","0.0","2.9","468"
"Miguel Tejada","Athletics","101","31","3","31","43","11","5",".267",".326",".476","109","-1.0","3.7","941"
"Ricky Gutierrez","Cubs","117","23","3","10","40","4","3",".290",".345",".402","96","-4.0","1.8","387"
"Orlando Cabrera","Expos","112","41","6","14","43","19","7",".276",".324",".428","87","13.0","3.1","766"
"Craig Counsell","Diamondbacks","97","22","3","4","61","6","8",".275",".359",".362","88","10.0","2.0","52"
"David Eckstein","Angels","134","26","2","4","43","29","4",".285",".355",".357","95","-4.0","2.2","10"
"Jimmy Rollins","Phillies","125","29","12","14","48","46","8",".274",".323",".419","93","-8.0","2.1","971"
"Placido Polanco","Cardinals","140","26","4","3","25","12","3",".307",".342",".383","92","23.0","4.0","1176"
"Jose Hernandez","Brewers","82","26","2","25","39","5","4",".249",".300",".443","85","5.0","1.9","688"
"Julio Lugo","Astros","102","20","3","10","46","12","11",".263",".326",".372","79","4.0","1.0","565"
"Carlos Guillen","Mariners","88","21","4","5","53","4","1",".259",".333",".355","89","10.0","2.6","1079"
"Melvin Mora","Orioles","74","28","0","7","41","11","4",".250",".329",".362","88","5.0","1.8","157"
"Neifi Perez","- - -","119","26","9","8","26","9","6",".279",".309",".396","66","13.0","1.2","620"
"Alex Gonzalez","Blue Jays","114","25","5","17","43","18","11",".253",".303",".388","78","10.0","2.1","281"
"Edgar Renteria","Cardinals","96","19","3","10","39","17","4",".260",".314",".371","78","8.0","1.7","1178"
"Omar Vizquel","Indians","120","26","8","2","61","13","9",".255",".323",".334","76","-8.0","0.1","411"
"Alex Gonzalez","Marlins","83","36","1","9","30","2","2",".250",".303",".377","77","-3.0","0.4","520"
"Tony Womack","Diamondbacks","101","19","5","3","23","28","7",".266",".307",".345","66","9.0","1.0","78"
"Rey Sanchez","- - -","129","18","6","0","15","11","1",".281",".300",".336","61","27.0","2.6","213"
"Rey Ordonez","Mets","83","24","4","3","34","3","2",".247",".299",".336","60","4.0","0.0","889"
